accuracy,loss,val_accuracy,val_loss
0.6594728827476501,0.6173398494720459,0.6635870337486267,0.613736629486084
0.6632762551307678,0.6139195561408997,0.6628920435905457,0.6137484908103943
0.6632762551307678,0.6138182282447815,0.6635870337486267,0.6136965751647949
0.6633997559547424,0.6137779355049133,0.6635870337486267,0.6137399673461914
0.6635450720787048,0.6137499213218689,0.6631124019622803,0.6136033535003662
0.663581371307373,0.6137255430221558,0.6635870337486267,0.6135481595993042
0.6634687781333923,0.6137110590934753,0.6635870337486267,0.6136296391487122
0.6635523438453674,0.6137142777442932,0.6631293296813965,0.6139115691184998
0.6634542346000671,0.6136303544044495,0.6635870337486267,0.6135794520378113
0.6638102531433105,0.6136384606361389,0.6632310748100281,0.6141501069068909
0.663465142250061,0.6136885285377502,0.6635870337486267,0.6134412288665771
0.6637848019599915,0.6135781407356262,0.6632310748100281,0.6137717366218567
0.6636540293693542,0.6136085391044617,0.6631124019622803,0.6135410070419312
0.6637738943099976,0.6135832667350769,0.6631124019622803,0.6135790944099426
0.6637485027313232,0.6135438680648804,0.6631124019622803,0.6136785745620728
0.6637448668479919,0.6135327816009521,0.6635870337486267,0.6133909821510315
0.6637557148933411,0.613526463508606,0.6633666753768921,0.6133624911308289
0.6637521386146545,0.6135046482086182,0.6633666753768921,0.6136794090270996
0.6635123491287231,0.6134728789329529,0.6635870337486267,0.6133878827095032
0.6637048721313477,0.6134817600250244,0.6635870337486267,0.6134649515151978
0.6638501882553101,0.6134548783302307,0.6635870337486267,0.6134453415870667
0.6638392806053162,0.6134740710258484,0.6635870337486267,0.6134985089302063
0.6637775301933289,0.6134535074234009,0.6635870337486267,0.613506019115448
0.6637702584266663,0.6134650707244873,0.6635870337486267,0.6135241985321045
0.6638102531433105,0.6134424805641174,0.6635870337486267,0.6134240031242371
0.663766622543335,0.6134689450263977,0.6635870337486267,0.6134781241416931
0.6638211011886597,0.6134144067764282,0.6635870337486267,0.6134716272354126
