accuracy,loss,val_accuracy,val_loss
0.6889456510543823,0.5953401327133179,0.6948938369750977,0.589379072189331
0.6946243643760681,0.5910395383834839,0.6949691772460938,0.5902968049049377
0.6945719122886658,0.5910571813583374,0.6943100094795227,0.58945631980896
0.6947172284126282,0.5910095572471619,0.6949691772460938,0.5900400876998901
0.694644570350647,0.5910243391990662,0.6948938369750977,0.5893824696540833
0.6946001648902893,0.5909008383750916,0.6949691772460938,0.5900087356567383
0.6948221325874329,0.5909514427185059,0.6950068473815918,0.5892701148986816
0.6947293281555176,0.5908923745155334,0.6948938369750977,0.5894305109977722
0.6948140859603882,0.5908679962158203,0.6946113705635071,0.5893082022666931
0.6947494745254517,0.5908750891685486,0.6948938369750977,0.5892459750175476
0.6948423385620117,0.5908561944961548,0.6948938369750977,0.5895129442214966
0.6947817802429199,0.5908604860305786,0.6949691772460938,0.5894961357116699
0.6948100328445435,0.5908569693565369,0.6946678757667542,0.5892260074615479
0.6948019862174988,0.5908297300338745,0.6948938369750977,0.5895053148269653
0.6948059797286987,0.590827226638794,0.6948938369750977,0.5895456075668335
0.6948261857032776,0.5908632278442383,0.6948938369750977,0.5894472599029541
0.6947777271270752,0.5908191800117493,0.6948938369750977,0.5896931290626526
0.6948221325874329,0.5908132195472717,0.6946113705635071,0.5895313024520874
0.6947817802429199,0.590815544128418,0.6946678757667542,0.5894181728363037
0.6947737336158752,0.590816855430603,0.6948938369750977,0.5896508693695068
0.6948705911636353,0.5908308029174805,0.6948938369750977,0.5894686579704285
0.6948947906494141,0.5907972455024719,0.6948938369750977,0.5892072916030884
0.6948423385620117,0.5907633304595947,0.6950068473815918,0.5893680453300476
0.6948988437652588,0.5907776951789856,0.6946113705635071,0.5895296931266785
0.6947252750396729,0.5908029079437256,0.6948938369750977,0.5895284414291382
0.6948423385620117,0.5907850861549377,0.6948938369750977,0.5896349549293518
0.6949189901351929,0.5907750725746155,0.6950068473815918,0.5893583297729492
0.6949149966239929,0.5907522439956665,0.6950068473815918,0.5895524024963379
0.6948503851890564,0.5907543897628784,0.6950068473815918,0.5892323851585388
0.6948947906494141,0.590783417224884,0.6950068473815918,0.5893422961235046
0.6948624849319458,0.5907592177391052,0.6950068473815918,0.589398205280304
0.6949633955955505,0.5907253623008728,0.6950068473815918,0.5892835259437561
