accuracy,loss,val_accuracy,val_loss
0.6615216732025146,0.6158672571182251,0.6635870337486267,0.613574743270874
0.6632653474807739,0.6138769388198853,0.6627563834190369,0.6137038469314575
0.6634179353713989,0.6137701272964478,0.6635870337486267,0.6134926676750183
0.6636213660240173,0.6138125061988831,0.6584845185279846,0.6141968965530396
0.6635305285453796,0.6137745976448059,0.6635870337486267,0.613400399684906
0.6634505987167358,0.6136550307273865,0.6631124019622803,0.6139472126960754
0.6636831164360046,0.6136686205863953,0.6635870337486267,0.6136221885681152
0.6637738943099976,0.6135808825492859,0.6621291637420654,0.6138332486152649
0.6636613011360168,0.6136401891708374,0.6631124019622803,0.6135685443878174
0.663792073726654,0.6135571002960205,0.6631124019622803,0.6138303279876709
0.663792073726654,0.613565981388092,0.6631124019622803,0.613584578037262
0.6636903285980225,0.6135837435722351,0.6631124019622803,0.6136413216590881
0.6637957096099854,0.6135897040367126,0.6635870337486267,0.6135575771331787
0.663802981376648,0.6135708093643188,0.6631124019622803,0.6133711338043213
0.6638392806053162,0.6135671138763428,0.6631124019622803,0.6132463812828064
0.6637993454933167,0.6135106086730957,0.6631124019622803,0.6137903332710266
0.663824737071991,0.6135442852973938,0.6635870337486267,0.6134873032569885
0.6639083027839661,0.6135455369949341,0.6631124019622803,0.6137388348579407
0.6637884378433228,0.6135061979293823,0.6635870337486267,0.6135258674621582
0.6638320088386536,0.6135081052780151,0.6636040210723877,0.6134790182113647
0.6638901233673096,0.6134848594665527,0.6636040210723877,0.6139129400253296
0.6638756394386292,0.613464891910553,0.6631124019622803,0.6134025454521179
0.6638501882553101,0.6134756207466125,0.6636040210723877,0.6134997010231018
0.6639046669006348,0.6134302020072937,0.6636040210723877,0.6134540438652039
0.6638465523719788,0.6134278178215027,0.6636040210723877,0.6133793592453003
