accuracy,loss,val_accuracy,val_loss
0.6613436937332153,0.6159781217575073,0.6632310748100281,0.6139038801193237
0.663370668888092,0.6138433218002319,0.6635870337486267,0.6134166121482849
0.663497805595398,0.6138484477996826,0.6635870337486267,0.613612174987793
0.6635196208953857,0.6138379573822021,0.6635870337486267,0.6136488914489746
0.6636358499526978,0.6137091517448425,0.6635870337486267,0.613807201385498
0.6631890535354614,0.6137697696685791,0.6631124019622803,0.6137080788612366
0.6635450720787048,0.6136723756790161,0.6631124019622803,0.6135623455047607
0.663581371307373,0.6136922240257263,0.6635870337486267,0.613798975944519
0.6635668277740479,0.6136436462402344,0.6635870337486267,0.6139499545097351
0.6636467576026917,0.6136589050292969,0.6631124019622803,0.6138097643852234
0.6637593507766724,0.6136046648025513,0.6631124019622803,0.6137051582336426
0.6636939644813538,0.613640546798706,0.6635870337486267,0.6134819388389587
